segment_id,poi_category,count,radius_m,category_weight
1,schools_colleges,0,200,12
2,schools_colleges,0,200,12
3,schools_colleges,0,200,12
4,schools_colleges,0,200,12
5,schools_colleges,0,200,12
6,schools_colleges,0,200,12
7,schools_colleges,0,200,12
8,schools_colleges,0,200,12
9,schools_colleges,0,200,12
10,schools_colleges,1,200,12
11,schools_colleges,1,200,12
12,schools_colleges,0,200,12
13,schools_colleges,1,200,12
14,schools_colleges,0,200,12
15,schools_colleges,1,200,12
16,schools_colleges,1,200,12
17,schools_colleges,0,200,12
18,schools_colleges,0,200,12
19,schools_colleges,0,200,12
20,schools_colleges,1,200,12
21,schools_colleges,0,200,12
22,schools_colleges,1,200,12
23,schools_colleges,1,200,12
24,schools_colleges,0,200,12
25,schools_colleges,0,200,12
26,schools_colleges,0,200,12
27,schools_colleges,0,200,12
28,schools_colleges,1,200,12
29,schools_colleges,0,200,12
30,schools_colleges,0,200,12
31,schools_colleges,0,200,12
32,schools_colleges,0,200,12
33,schools_colleges,0,200,12
34,schools_colleges,0,200,12
35,schools_colleges,0,200,12
36,schools_colleges,0,200,12
37,schools_colleges,0,200,12
38,schools_colleges,0,200,12
39,schools_colleges,0,200,12
40,schools_colleges,0,200,12
41,schools_colleges,0,200,12
42,schools_colleges,0,200,12
43,schools_colleges,0,200,12
44,schools_colleges,1,200,12
45,schools_colleges,0,200,12
46,schools_colleges,0,200,12
47,schools_colleges,0,200,12
48,schools_colleges,1,200,12
49,schools_colleges,0,200,12
50,schools_colleges,1,200,12
51,schools_colleges,0,200,12
52,schools_colleges,0,200,12
53,schools_colleges,0,200,12
54,schools_colleges,0,200,12
55,schools_colleges,0,200,12
56,schools_colleges,0,200,12
57,schools_colleges,0,200,12
58,schools_colleges,1,200,12
59,schools_colleges,0,200,12
60,schools_colleges,0,200,12
61,schools_colleges,0,200,12
62,schools_colleges,0,200,12
63,schools_colleges,0,200,12
64,schools_colleges,0,200,12
65,schools_colleges,0,200,12
66,schools_colleges,0,200,12
67,schools_colleges,0,200,12
68,schools_colleges,0,200,12
69,schools_colleges,0,200,12
70,schools_colleges,0,200,12
71,schools_colleges,0,200,12
72,schools_colleges,0,200,12
73,schools_colleges,1,200,12
74,schools_colleges,0,200,12
75,schools_colleges,0,200,12
76,schools_colleges,0,200,12
77,schools_colleges,0,200,12
78,schools_colleges,0,200,12
79,schools_colleges,0,200,12
80,schools_colleges,0,200,12
81,schools_colleges,0,200,12
82,schools_colleges,0,200,12
83,schools_colleges,0,200,12
84,schools_colleges,0,200,12
85,schools_colleges,0,200,12
86,schools_colleges,0,200,12
87,schools_colleges,0,200,12
88,schools_colleges,0,200,12
89,schools_colleges,0,200,12
90,schools_colleges,0,200,12
91,schools_colleges,0,200,12
92,schools_colleges,0,200,12
93,schools_colleges,0,200,12
94,schools_colleges,0,200,12
95,schools_colleges,0,200,12
96,schools_colleges,1,200,12
97,schools_colleges,0,200,12
98,schools_colleges,1,200,12
99,schools_colleges,1,200,12
100,schools_colleges,0,200,12
101,schools_colleges,1,200,12
102,schools_colleges,1,200,12
103,schools_colleges,0,200,12
104,schools_colleges,0,200,12
105,schools_colleges,1,200,12
106,schools_colleges,0,200,12
107,schools_colleges,0,200,12
108,schools_colleges,0,200,12
109,schools_colleges,0,200,12
110,schools_colleges,0,200,12
111,schools_colleges,0,200,12
112,schools_colleges,1,200,12
113,schools_colleges,0,200,12
114,schools_colleges,0,200,12
115,schools_colleges,0,200,12
116,schools_colleges,0,200,12
117,schools_colleges,2,200,12
118,schools_colleges,0,200,12
119,schools_colleges,0,200,12
120,schools_colleges,0,200,12
121,schools_colleges,0,200,12
122,schools_colleges,0,200,12
123,schools_colleges,0,200,12
124,schools_colleges,0,200,12
125,schools_colleges,1,200,12
126,schools_colleges,0,200,12
127,schools_colleges,0,200,12
128,schools_colleges,1,200,12
129,schools_colleges,1,200,12
130,schools_colleges,0,200,12
131,schools_colleges,0,200,12
132,schools_colleges,1,200,12
133,schools_colleges,0,200,12
134,schools_colleges,0,200,12
135,schools_colleges,0,200,12
136,schools_colleges,0,200,12
137,schools_colleges,0,200,12
138,schools_colleges,0,200,12
139,schools_colleges,0,200,12
140,schools_colleges,0,200,12
141,schools_colleges,0,200,12
142,schools_colleges,0,200,12
143,schools_colleges,0,200,12
144,schools_colleges,0,200,12
145,schools_colleges,1,200,12
146,schools_colleges,0,200,12
147,schools_colleges,0,200,12
148,schools_colleges,0,200,12
149,schools_colleges,1,200,12
150,schools_colleges,0,200,12
151,schools_colleges,0,200,12
152,schools_colleges,0,200,12
153,schools_colleges,0,200,12
154,schools_colleges,0,200,12
155,schools_colleges,0,200,12
156,schools_colleges,0,200,12
157,schools_colleges,0,200,12
158,schools_colleges,0,200,12
159,schools_colleges,0,200,12
160,schools_colleges,0,200,12
161,schools_colleges,1,200,12
162,schools_colleges,2,200,12
163,schools_colleges,0,200,12
164,schools_colleges,1,200,12
165,schools_colleges,1,200,12
166,schools_colleges,0,200,12
167,schools_colleges,0,200,12
168,schools_colleges,1,200,12
169,schools_colleges,1,200,12
170,schools_colleges,0,200,12
171,schools_colleges,0,200,12
172,schools_colleges,1,200,12
173,schools_colleges,0,200,12
174,schools_colleges,0,200,12
175,schools_colleges,0,200,12
176,schools_colleges,1,200,12
177,schools_colleges,2,200,12
178,schools_colleges,0,200,12
179,schools_colleges,0,200,12
180,schools_colleges,0,200,12
181,schools_colleges,0,200,12
182,schools_colleges,0,200,12
183,schools_colleges,0,200,12
184,schools_colleges,0,200,12
185,schools_colleges,0,200,12
186,schools_colleges,0,200,12
187,schools_colleges,0,200,12
188,schools_colleges,0,200,12
189,schools_colleges,0,200,12
190,schools_colleges,0,200,12
191,schools_colleges,0,200,12
192,schools_colleges,0,200,12
193,schools_colleges,0,200,12
194,schools_colleges,0,200,12
195,schools_colleges,0,200,12
196,schools_colleges,0,200,12
197,schools_colleges,0,200,12
198,schools_colleges,0,200,12
199,schools_colleges,0,200,12
200,schools_colleges,0,200,12
201,schools_colleges,0,200,12
202,schools_colleges,0,200,12
203,schools_colleges,0,200,12
204,schools_colleges,0,200,12
205,schools_colleges,0,200,12
206,schools_colleges,1,200,12
207,schools_colleges,0,200,12
208,schools_colleges,0,200,12
209,schools_colleges,0,200,12
210,schools_colleges,0,200,12
211,schools_colleges,0,200,12
212,schools_colleges,1,200,12
213,schools_colleges,1,200,12
214,schools_colleges,0,200,12
215,schools_colleges,1,200,12
216,schools_colleges,0,200,12
217,schools_colleges,3,200,12
218,schools_colleges,0,200,12
219,schools_colleges,1,200,12
220,schools_colleges,0,200,12
221,schools_colleges,0,200,12
222,schools_colleges,0,200,12
223,schools_colleges,0,200,12
224,schools_colleges,0,200,12
225,schools_colleges,0,200,12
226,schools_colleges,0,200,12
227,schools_colleges,0,200,12
228,schools_colleges,0,200,12
229,schools_colleges,0,200,12
230,schools_colleges,0,200,12
231,schools_colleges,0,200,12
232,schools_colleges,0,200,12
233,schools_colleges,0,200,12
234,schools_colleges,0,200,12
235,schools_colleges,0,200,12
236,schools_colleges,1,200,12
237,schools_colleges,1,200,12
238,schools_colleges,0,200,12
239,schools_colleges,0,200,12
240,schools_colleges,0,200,12
241,schools_colleges,0,200,12
242,schools_colleges,1,200,12
243,schools_colleges,1,200,12
244,schools_colleges,1,200,12
245,schools_colleges,0,200,12
246,schools_colleges,0,200,12
247,schools_colleges,0,200,12
248,schools_colleges,0,200,12
249,schools_colleges,0,200,12
250,schools_colleges,0,200,12
251,schools_colleges,0,200,12
252,schools_colleges,0,200,12
253,schools_colleges,0,200,12
254,schools_colleges,0,200,12
255,schools_colleges,0,200,12
256,schools_colleges,0,200,12
257,schools_colleges,0,200,12
258,schools_colleges,0,200,12
259,schools_colleges,0,200,12
260,schools_colleges,1,200,12
261,schools_colleges,0,200,12
262,schools_colleges,0,200,12
263,schools_colleges,0,200,12
264,schools_colleges,0,200,12
265,schools_colleges,1,200,12
266,schools_colleges,0,200,12
267,schools_colleges,0,200,12
268,schools_colleges,0,200,12
269,schools_colleges,0,200,12
270,schools_colleges,0,200,12
271,schools_colleges,0,200,12
272,schools_colleges,0,200,12
273,schools_colleges,0,200,12
274,schools_colleges,0,200,12
275,schools_colleges,0,200,12
276,schools_colleges,0,200,12
277,schools_colleges,0,200,12
278,schools_colleges,0,200,12
279,schools_colleges,0,200,12
280,schools_colleges,0,200,12
281,schools_colleges,0,200,12
282,schools_colleges,0,200,12
283,schools_colleges,0,200,12
284,schools_colleges,1,200,12
285,schools_colleges,0,200,12
286,schools_colleges,0,200,12
287,schools_colleges,0,200,12
288,schools_colleges,0,200,12
289,schools_colleges,0,200,12
290,schools_colleges,0,200,12
291,schools_colleges,0,200,12
292,schools_colleges,2,200,12
293,schools_colleges,0,200,12
294,schools_colleges,0,200,12
295,schools_colleges,0,200,12
296,schools_colleges,0,200,12
297,schools_colleges,0,200,12
298,schools_colleges,0,200,12
299,schools_colleges,0,200,12
300,schools_colleges,0,200,12
301,schools_colleges,0,200,12
302,schools_colleges,0,200,12
303,schools_colleges,0,200,12
304,schools_colleges,0,200,12
305,schools_colleges,0,200,12
306,schools_colleges,0,200,12
307,schools_colleges,0,200,12
308,schools_colleges,0,200,12
309,schools_colleges,0,200,12
310,schools_colleges,0,200,12
311,schools_colleges,1,200,12
312,schools_colleges,0,200,12
313,schools_colleges,0,200,12
314,schools_colleges,0,200,12
315,schools_colleges,1,200,12
316,schools_colleges,1,200,12
317,schools_colleges,2,200,12
318,schools_colleges,1,200,12
319,schools_colleges,2,200,12
320,schools_colleges,0,200,12
321,schools_colleges,0,200,12
322,schools_colleges,0,200,12
323,schools_colleges,1,200,12
324,schools_colleges,2,200,12
325,schools_colleges,0,200,12
326,schools_colleges,0,200,12
327,schools_colleges,0,200,12
328,schools_colleges,1,200,12
329,schools_colleges,0,200,12
330,schools_colleges,1,200,12
331,schools_colleges,1,200,12
332,schools_colleges,1,200,12
333,schools_colleges,0,200,12
334,schools_colleges,0,200,12
335,schools_colleges,0,200,12
336,schools_colleges,1,200,12
337,schools_colleges,1,200,12
338,schools_colleges,0,200,12
339,schools_colleges,1,200,12
340,schools_colleges,0,200,12
341,schools_colleges,0,200,12
342,schools_colleges,1,200,12
343,schools_colleges,0,200,12
344,schools_colleges,1,200,12
345,schools_colleges,0,200,12
346,schools_colleges,0,200,12
347,schools_colleges,0,200,12
348,schools_colleges,0,200,12
349,schools_colleges,3,200,12
350,schools_colleges,1,200,12
351,schools_colleges,0,200,12
352,schools_colleges,0,200,12
353,schools_colleges,0,200,12
354,schools_colleges,0,200,12
355,schools_colleges,1,200,12
356,schools_colleges,0,200,12
357,schools_colleges,0,200,12
358,schools_colleges,0,200,12
359,schools_colleges,0,200,12
360,schools_colleges,1,200,12
361,schools_colleges,0,200,12
362,schools_colleges,1,200,12
363,schools_colleges,0,200,12
